Property,Project Name,Type of Property,Transaction Type,City,Area Name,Location,Price,Covered Area,Carpet Area,Carpet Area Unit,Bathroom,Floor No,Ownership Type,Possession Status,furnished Type,isPrimeLocationProperty,Gymnasium,Swimming Pool,Security,Club House,Developer,Maintenance Charges,Maintenance Type,Parking Lot Count,Has Covered Parking,Price per sqm
2 BHK Flat,Hiral Splendour,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",11999999,935,595,Sq-ft,2,1,Co-operative Society,Ready to Move,Unfurnished,0,1,1,1,1,V K Associates,,Monthly,0,0,12834.22353
2 BHK Flat,Sheth Midori,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",17000000,830,555,Sq-ft,2,16,Freehold,Ready to Move,Unfurnished,0,0,0,1,0,Ashwin Sheth Group,,,0,0,20481.92771
2 BHK Flat,Timber Green Homes,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",12500000,750,,,2,7,Co-operative Society,Ready to Move,Unfurnished,0,1,0,1,1,Cooperative Group Housing Society,,,1,1,16666.66667
1 BHK Flat,Lodha Casa Essenza,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",7200000,585,418,Sq-ft,2,11,Co-operative Society,Ready to Move,Unfurnished,1,1,1,1,1,Lodha,4000,Monthly,1,1,12307.69231
2 BHK Flat,Lodha Casa Essenza,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",11000000,930,670,Sq-ft,2,12,Co-operative Society,Ready to Move,Semi-Furnished,1,1,1,1,1,Lodha,1,Monthly,1,1,11827.95699
1 BHK Flat,Rudraksh,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",8000000,693,417,Sq-ft,2,10,Freehold,Ready to Move,Unfurnished,1,1,1,1,1,Raj Realty Group,3000,Monthly,1,0,11544.01154
2 BHK Flat,,Apartment,New Property,Mumbai,Dahisar East,"Dahisar East, Mumbai",10500000,1040,650,Sq-ft,2,10,Freehold,Under Construction,Semi-Furnished,1,1,1,1,1,,5000,Monthly,1,1,10096.15385
2 BHK Flat,,Apartment,Resale,Mumbai,Rawal Pada,"Rawal Pada, Mumbai",17100000,1180,730,Sq-ft,2,18,Freehold,Ready to Move,Unfurnished,1,1,1,1,1,,5514,Monthly,1,1,14491.52542
2 BHK Flat,Vaibhav Palace,Apartment,Resale,Mumbai,Anand Nagar,"Anand Nagar, Mumbai",19000000,850,,,2,5,Freehold,Ready to Move,Semi-Furnished,0,1,1,1,1,,,,1,1,22352.94118
3 BHK Flat,,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",26000000,1600,1106,Sq-ft,3,2,Freehold,Ready to Move,Unfurnished,1,1,1,1,1,,6000,Monthly,2,1,16250
3 BHK Flat,,Apartment,Resale,Mumbai,Vaishali Nagar,"Vaishali Nagar, Mumbai",29900000,1050,1100,Sq-ft,4,9,Co-operative Society,Ready to Move,Furnished,0,1,1,1,1,,,,0,0,28476.19048
1 BHK Flat,,Apartment,Resale,Mumbai,NL Complex,"NL Complex, Mumbai",7600000,500,400,Sq-ft,1,2,Co-operative Society,Ready to Move,Unfurnished,0,0,0,1,0,,1400,Monthly,1,1,15200
2 BHK Flat,Raj Rudraksha,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",13000000,800,624,Sq-ft,2,13,Freehold,Ready to Move,Unfurnished,0,0,0,1,0,,,,0,0,16250
2 BHK Flat,Northern Heights,Apartment,Resale,Mumbai,Vaishali Nagar Dahisar,"Vaishali Nagar Dahisar, Mumbai",17100000,1100,,,2,17,Freehold,Ready to Move,Unfurnished,0,1,1,1,1,N Rose Developers Pvt. Ltd.,,,1,1,15545.45455
1 BHK Flat,,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",6500000,400,,,1,4,Freehold,Ready to Move,Unfurnished,0,0,0,1,0,,,,0,0,16250
1 BHK Flat,Sadguru Heights I,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",8500000,600,400,Sq-ft,1,12,Freehold,Ready to Move,Semi-Furnished,0,1,1,1,1,Sadguru Group Housing & Infrastructure,3000,Monthly,1,0,14166.66667
1 BHK Flat,Lodha Casa Essenza,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",6800000,426,,,1,3,Co-operative Society,Ready to Move,Unfurnished,0,1,1,1,1,Lodha,,,0,0,15962.44131
1 BHK Flat,,Builder Floor Apartment,Resale,Mumbai,Anand Nagar,"Anand Nagar, Mumbai",7500000,380,,,1,,Co-operative Society,Ready to Move,Semi-Furnished,1,0,0,1,0,,,,0,0,19736.84211
2 BHK Flat,,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",10000000,560,480,Sq-ft,2,1,,Ready to Move,Unfurnished,1,1,1,1,1,,,,0,0,17857.14286
1 BHK Flat,DARVESH HORIZON,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",9010000,970,,,2,11,Freehold,Under Construction,,1,1,1,1,1,Darvesh Group,,Monthly,1,1,9288.659794
1 BHK Flat,,Apartment,Resale,Mumbai,Vaishali Nagar,"Vaishali Nagar, Mumbai",7500000,550,410,Sq-ft,1,3,Freehold,Ready to Move,Unfurnished,1,1,1,1,1,,2000,Monthly,0,0,13636.36364
